facialacc_cls;budget;kvsr;kfsr;kcsr;kvr;kesr;subkesr;meanstype;summa
843010010;147;943;503;9900020000;244;225;1002000;10004;-46307.0
843010010;147;943;503;9900020000;244;226;1002000;10004;57500.0
843010010;147;943;804;9900020000;244;226;1001023;10004;-85770.0
843010010;147;943;804;9900020000;244;310;1001023;10004;-14100.0
841010010;153;941;503;9900020000;244;290;1002000;10004;-24150.0
841010010;153;941;503;9900020000;831;290;1002000;10004;-223000.0
841010010;153;941;804;9900020000;244;290;1001023;10004;-112960.0
841010010;153;941;1101;9900020000;244;290;1001019;10004;-125700.0
841010010;153;941;503;9900020000;244;296;1002000;10004;24150.0
841010010;153;941;503;9900020000;831;296;1002000;10004;223000.0
841010010;153;941;804;9900020000;244;296;1001023;10004;112960.0
841010010;153;941;1101;9900020000;244;296;1001019;10004;125700.0
109010010;146;909;412;9900090000;851;290;1001400;10004;-2500.0
109010010;146;909;412;9900090000;851;291;1001400;10004;2500.0
109010010;146;909;412;9900090000;851;290;1001200;10004;-20000.0
109010010;146;909;412;9900090000;851;291;1001200;10004;20000.0
837010010;149;937;113;9900060000;611;241;1001400;10186;-28800.0
837010010;149;937;113;9900060000;611;241;1001400;10187;-9000.0
837010010;149;937;113;9900060000;611;241;1001400;10188;-52570.0
843010010;147;943;804;9900020000;244;290;1001023;10004;99870.0
109010010;146;909;801;9900020000;243;225;1002000;10202;-3805300.0
109010010;146;909;801;9900020000;243;226;1002000;10202;3805300.0
109010010;146;909;801;9900020000;243;225;1002000;10193;-3150000.0
109010010;146;909;801;9900020000;243;226;1002000;10193;3150000.0
109010010;146;909;412;9900060000;611;241;1001400;10176;203400.0
109010010;146;909;412;9900060000;611;241;1001400;10178;61400.0
101010020;146;901;1301;9900090000;730;231;1003000;10040;-1931780.83
101010020;146;901;1301;9900090000;730;231;1003000;10998;1931780.83
101010020;146;901;1301;9900090000;730;231;1003000;10040;-2049315.07
101010020;146;901;1301;9900090000;730;231;1003000;10998;2049315.07
837010010;149;937;113;9900060000;611;241;1001400;10188;9370.0
837010010;149;937;113;9900060000;611;241;1001400;10187;9000.0
837010010;149;937;113;9900060000;611;241;1001400;10188;72000.0
114010210;146;914;1002;5400012000;851;291;1001303;10004;165900.0
114010210;146;914;1002;9900012000;851;290;1001303;10004;0.0
114010210;146;914;1002;5400012000;852;291;1001303;10004;138300.0
114010210;146;914;1002;5400012000;852;290;1001303;10004;-138300.0
114010210;146;914;1002;5400012000;853;290;1001303;10004;-30000.0
114010210;146;914;1002;5400012000;853;291;1001303;10004;30000.0
114010210;146;914;1002;9900012000;851;291;1001303;10004;0.0
114010210;146;914;1002;5400012000;851;290;1001303;10004;-165900.0
114010210;146;914;1002;9900012000;852;290;1001303;10004;0.0
114010210;146;914;1002;9900012000;852;291;1001303;10004;0.0
114010010;146;914;1006;9900075180;851;290;2001106;10004;-2500.0
114010010;146;914;1006;9900075190;851;291;2001105;10004;2500.0
114010010;146;914;1006;9900075190;851;290;2001105;10004;-2500.0
114010010;146;914;1006;9900075180;851;291;2001106;10004;2500.0
114010010;146;914;1006;9900090000;851;290;1001200;10004;-10000.0
114010010;146;914;1006;9900090000;851;291;1001200;10004;10000.0
